"2023-02-18 [main] INFO  i.e.b.d.GestioneDispositiviApplication - Starting GestioneDispositiviApplication using Java 17.0.5 on Cosimos-Air with PID 4596 (/Users/cosimogargiullo/eclipse-workspace/EPICODE-BE/WEEK-6/WEEK-PROJECT/GestioneDispositivii/target/classes started by cosimogargiullo in /Users/cosimogargiullo/eclipse-workspace/EPICODE-BE/WEEK-6/WEEK-PROJECT/GestioneDispositivii)
""2023-02-18 [main] DEBUG i.e.b.d.GestioneDispositiviApplication - Running with Spring Boot v2.4.5, Spring v5.3.6
""2023-02-18 [main] INFO  i.e.b.d.GestioneDispositiviApplication - No active profile set, falling back to default profiles: default
""2023-02-18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2023-02-18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 JPA repository interfaces.
""2023-02-18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-02-18 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-02-18 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45]
""2023-02-18 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-02-18 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1695 ms
""2023-02-18 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2023-02-18 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.30.Final
""2023-02-18 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2023-02-18 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2023-02-18 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2023-02-18 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2023-02-18 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2023-02-18 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2023-02-18 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2023-02-18 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2023-02-18 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 82ed18be-c60e-45e7-bf59-ba4fa4850438

""2023-02-18 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33fec21, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ec27c4c, org.springframework.security.web.header.HeaderWriterFilter@6ff8e744, org.springframework.security.web.csrf.CsrfFilter@1191029d, org.springframework.security.web.authentication.logout.LogoutFilter@64d93096, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@50e1f3fc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@76ed7573, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@12a0d249, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@66b90ab3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e80d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1eabfad5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3c62be3c, org.springframework.security.web.session.SessionManagementFilter@53e82089, org.springframework.security.web.access.ExceptionTranslationFilter@c83ed77, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7831d1aa]
""2023-02-18 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-02-18 [main] INFO  i.e.b.d.GestioneDispositiviApplication - Started GestioneDispositiviApplication in 4.36 seconds (JVM running for 5.413)
""2023-02-18 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2023-02-18 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
""2023-02-18 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2023-02-18 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2023-02-18 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
"
